Lsr: Wavelength (nm),PL,DataSIF,Lsr: Energy (eV),Matisse Power (uW),Corrected PL
738.75,1208.55,<functions26.DataXXX.DataSIF object at 0x7f0aa3846370>,3.355611011,7.87712534803182,1126.4132970023384
738.73,1034.8,<functions26.DataXXX.DataSIF object at 0x7f0aa37a27c0>,3.355701859,6.754991817188725,1124.689123005721
738.7099,1456.45,<functions26.DataXXX.DataSIF object at 0x7f0aa3858af0>,3.355793166,7.8754035719841635,1357.7620439251837
738.6799,1904.05,<functions26.DataXXX.DataSIF object at 0x7f0aa3887250>,3.355929455,7.478768549757754,1869.17153175914
738.665,2968.0,<functions26.DataXXX.DataSIF object at 0x7f0aa3780430>,3.355997149,7.597696145261322,2868.0246393409775
738.6601,2839.05,<functions26.DataXXX.DataSIF object at 0x7f0aa3778670>,3.356019411,7.169856784773457,2907.123371294325
738.659,2734.3,<functions26.DataXXX.DataSIF object at 0x7f0aa383ab20>,3.356024409,7.074800254505851,2837.480476166298
738.658,2663.15,<functions26.DataXXX.DataSIF object at 0x7f0aa3824ac0>,3.356028953,6.994624908417751,2795.323661001289
738.657,2667.05,<functions26.DataXXX.DataSIF object at 0x7f0aa37ef040>,3.356033496,6.922867973471914,2828.4337492430086
738.656,2571.75,<functions26.DataXXX.DataSIF object at 0x7f0aa3894a90>,3.356038039,6.861703556270692,2751.6785557415456
738.6555,2537.2,<functions26.DataXXX.DataSIF object at 0x7f0aa3894c10>,3.356040311,6.835701694753123,2725.037623876332
738.655,2557.85,<functions26.DataXXX.DataSIF object at 0x7f0aa37907c0>,3.356042583,6.81304397748985,2756.3526612744736
738.6545,2394.45,<functions26.DataXXX.DataSIF object at 0x7f0aa37901c0>,3.356044855,6.793914032920935,2587.53735239065
738.6541,2149.15,<functions26.DataXXX.DataSIF object at 0x7f0aa387b0d0>,3.356046672,6.781259902306123,2326.7902790287244
738.6535,1938.7,<functions26.DataXXX.DataSIF object at 0x7f0aa37351c0>,3.356049398,6.7668379782141335,2103.418718862617
738.6531,2337.5,<functions26.DataXXX.DataSIF object at 0x7f0aa381aa90>,3.356051215,6.760340614044185,2538.53960692625
738.6525,2617.4,<functions26.DataXXX.DataSIF object at 0x7f0aa37fd430>,3.356053942,6.755352407811726,2844.611690155264
738.6519,2618.55,<functions26.DataXXX.DataSIF object at 0x7f0aa3723430>,3.356056668,6.756128036504908,2845.5348040295335
738.6515,2479.4,<functions26.DataXXX.DataSIF object at 0x7f0aa382d130>,3.356058485,6.759842988640195,2692.842112458511
738.651,2451.85,<functions26.DataXXX.DataSIF object at 0x7f0aa3790e80>,3.356060757,6.768054064695868,2659.689754035942
738.6505,2262.6,<functions26.DataXXX.DataSIF object at 0x7f0aa37a2e80>,3.356063029,6.780162603061355,2450.014054734574
738.65,2166.9,<functions26.DataXXX.DataSIF object at 0x7f0aa386dd60>,3.3560653,6.796060622690794,2340.898199588233
738.649,2198.05,<functions26.DataXXX.DataSIF object at 0x7f0aa38d21f0>,3.356069844,6.838708793098183,2359.7411100129766
738.648,2171.3,<functions26.DataXXX.DataSIF object at 0x7f0aa38a0e50>,3.356074387,6.894598222771207,2312.127459547648
738.6469,2123.75,<functions26.DataXXX.DataSIF object at 0x7f0aa37e2cd0>,3.356079385,6.969262981438414,2237.265066495858
738.646,2146.6,<functions26.DataXXX.DataSIF object at 0x7f0aa3723a00>,3.356083474,7.038733781674162,2239.0174980474035
738.645,2186.2,<functions26.DataXXX.DataSIF object at 0x7f0aa3780a00>,3.356088018,7.122593567186187,2253.4744018563824
738.6397,2336.7,<functions26.DataXXX.DataSIF object at 0x7f0aa38c6ac0>,3.356112099,7.586969491044248,2261.182018405683
738.6253,2017.35,<functions26.DataXXX.DataSIF object at 0x7f0aa7909b80>,3.356177529,7.53243319191287,1966.286812412027
738.6069,1371.15,<functions26.DataXXX.DataSIF object at 0x7f0aa38622e0>,3.356261137,7.056602367113988,1426.560597064366
738.585,1778.95,<functions26.DataXXX.DataSIF object at 0x7f0aa3798c40>,3.356360655,7.410034096095106,1762.5621421233232
738.5741,1320.3,<functions26.DataXXX.DataSIF object at 0x7f0aa3798670>,3.356410188,6.7563928308421355,1434.6918562672874
