Lsr: Wavelength (nm),PL,DataSIF,Lsr: Energy (eV),Matisse Power (uW),Corrected PL
738.75,1805.65,<functions26.DataXXX.DataSIF object at 0x7f0aa36aa3d0>,3.3556110105952226,7.870149653236897,1684.4242447948418
738.7298,1546.75,<functions26.DataXXX.DataSIF object at 0x7f0aa3778eb0>,3.355702767205575,6.756136330085469,1680.8254779260365
738.7101,2189.55,<functions26.DataXXX.DataSIF object at 0x7f0aa36aa9a0>,3.355792257446081,7.878678971950725,2040.3391574171135
738.69,2132.8,<functions26.DataXXX.DataSIF object at 0x7f0aa3790e50>,3.3558835696668705,6.757202521419533,2317.3098032704993
738.68,3261.15,<functions26.DataXXX.DataSIF object at 0x7f0aa3742940>,3.3559290004835933,7.41423844770305,3229.2757269739604
738.6649,5119.449999999999,<functions26.DataXXX.DataSIF object at 0x7f0aa369d5b0>,3.355997603347906,7.637958667302133,4920.92679212075
738.66,4834.15,<functions26.DataXXX.DataSIF object at 0x7f0aa36f2700>,3.356019865807301,7.217977211253603,4917.060113845554
738.6589,4620.65,<functions26.DataXXX.DataSIF object at 0x7f0aa3742f40>,3.356024863542862,7.120549080686778,4764.205556237656
738.658,4546.150000000001,<functions26.DataXXX.DataSIF object at 0x7f0aa387be20>,3.356028952610302,7.04492843400937,4737.705681611759
738.657,4822.799999999999,<functions26.DataXXX.DataSIF object at 0x7f0aa3713700>,3.356033496030256,6.967540413482583,5081.836147754655
738.656,4730.75,<functions26.DataXXX.DataSIF object at 0x7f0aa36f2dc0>,3.356038039462512,6.899373693648058,5034.092969854814
738.6555,4727.0,<functions26.DataXXX.DataSIF object at 0x7f0aa3703370>,3.356040311183252,6.869417134799669,5052.038081399375
738.6549,4622.5,<functions26.DataXXX.DataSIF object at 0x7f0aa38c62e0>,3.3560430372522005,6.837545302842527,4963.380901921535
738.6545,4613.3,<functions26.DataXXX.DataSIF object at 0x7f0aa38c6dc0>,3.3560448546339607,6.818938818194808,4967.018823805909
738.6541,3815.6,<functions26.DataXXX.DataSIF object at 0x7f0aa3742370>,3.3560466720176887,6.802559388717137,4118.047961367038
738.6535,3434.85,<functions26.DataXXX.DataSIF object at 0x7f0aa37a2220>,3.3560493980969706,6.782349742216436,3718.1636209323956
738.6529,3941.000000000001,<functions26.DataXXX.DataSIF object at 0x7f0aa383a850>,3.3560521241806813,6.767579322422293,4275.372725188348
738.6525,4322.7,<functions26.DataXXX.DataSIF object at 0x7f0aa37e2b80>,3.3560539415722825,6.760843675540199,4694.129905093078
738.652,4319.05,<functions26.DataXXX.DataSIF object at 0x7f0aa36c11f0>,3.3560562133145524,6.755988710931576,4693.53670786194
738.6514,4272.5,<functions26.DataXXX.DataSIF object at 0x7f0aa3862a30>,3.356058939409336,6.755439816456943,4643.327802665395
738.651,4491.35,<functions26.DataXXX.DataSIF object at 0x7f0aa38a0280>,3.356060756808318,6.7582765038715396,4879.123891356126
738.6501,4197.85,<functions26.DataXXX.DataSIF object at 0x7f0aa3703f40>,3.356064845963225,6.773924588792852,4549.749236777423
738.6489,4052.650000000001,<functions26.DataXXX.DataSIF object at 0x7f0aa369dc40>,3.3560702981852684,6.814033117222011,4366.52308545318
738.6478,3835.25,<functions26.DataXXX.DataSIF object at 0x7f0aa3723df0>,3.356075296071038,6.868613604975785,4099.449068611406
738.647,3902.05,<functions26.DataXXX.DataSIF object at 0x7f0aa7909f40>,3.3560789309064014,6.9177921077393885,4141.2001949677115
738.646,4083.1,<functions26.DataXXX.DataSIF object at 0x7f0aa36fc5b0>,3.3560834744616783,6.988823070361865,4289.304446773693
738.6449,3981.4,<functions26.DataXXX.DataSIF object at 0x7f0aa3798400>,3.356088472386692,7.076773917750844,4130.488268425526
738.6402,4240.6,<functions26.DataXXX.DataSIF object at 0x7f0aa3780250>,3.356109827324888,7.493983904951574,4154.468355178961
738.625,3264.2000000000003,<functions26.DataXXX.DataSIF object at 0x7f0aa37356d0>,3.3561788919644213,7.5599421260780435,3169.9994865781396
738.605,2220.9,<functions26.DataXXX.DataSIF object at 0x7f0aa3713dc0>,3.356269770820968,7.164807856962453,2275.7542278411647
738.5851,2669.9,<functions26.DataXXX.DataSIF object at 0x7f0aa36fcb80>,3.3563602001681603,7.474705695959441,2622.4172918206614
738.575,1930.4,<functions26.DataXXX.DataSIF object at 0x7f0aa3703940>,3.356406098334252,6.764915189714436,2095.0088160120117
