Lsr: Wavelength (nm),PL,DataSIF,Lsr: Energy (eV),Matisse Power (uW),Corrected PL
738.7601,3476.15,<functions26.DataXXX.DataSIF object at 0x7f0aa38b5c40>,3.3555651341717305,7.093621100584095,3597.753658384905
738.75,4191.35,<functions26.DataXXX.DataSIF object at 0x7f0aa37ef670>,3.3556110105952226,7.840423815280359,3924.7797611257583
738.74,4196.85,<functions26.DataXXX.DataSIF object at 0x7f0aa798c2e0>,3.3556564340325696,7.527814116338992,4093.1292908546443
738.7299,3742.0,<functions26.DataXXX.DataSIF object at 0x7f0aa791bc40>,3.3557023129525696,6.7792602606531815,4052.493979595061
738.7201,4299.3,<functions26.DataXXX.DataSIF object at 0x7f0aa38c64f0>,3.3557468303315705,7.190385772716085,4389.817460480303
738.7099,4814.549999999999,<functions26.DataXXX.DataSIF object at 0x7f0aa383a5e0>,3.355793166000917,7.869244628373963,4491.832543427733
738.7002,4800.1,<functions26.DataXXX.DataSIF object at 0x7f0aa387bc70>,3.3558372315009803,7.4503105892525685,4730.170653176029
738.695,4755.15,<functions26.DataXXX.DataSIF object at 0x7f0aa380d760>,3.3558608547197704,6.996009078527015,4990.163314003546
738.6899,5114.4,<functions26.DataXXX.DataSIF object at 0x7f0aa38b54f0>,3.355884023968949,6.758225612171851,5556.008581016291
738.685,5769.85,<functions26.DataXXX.DataSIF object at 0x7f0aa387b520>,3.355906284921476,6.8934263384547325,6145.118837975247
738.68,7737.900000000001,<functions26.DataXXX.DataSIF object at 0x7f0aa382dd30>,3.3559290004835933,7.300015943432038,7782.160912304603
738.675,9353.8,<functions26.DataXXX.DataSIF object at 0x7f0aa38c6c40>,3.3559517163532284,7.706448130953563,8911.169865479002
738.6699,11085.35,<functions26.DataXXX.DataSIF object at 0x7f0aa38245e0>,3.3559748868570667,7.878743642950704,10329.833995407209
738.6649,11180.25,<functions26.DataXXX.DataSIF object at 0x7f0aa7909cd0>,3.355997603347906,7.722754326686204,10628.701189888447
738.6601,10747.15,<functions26.DataXXX.DataSIF object at 0x7f0aa38d2c70>,3.356019411468442,7.341987515617964,10746.834752093326
738.6592,10494.25,<functions26.DataXXX.DataSIF object at 0x7f0aa38d24f0>,3.356023500522596,7.260192779286788,10612.168952989154
738.658,10151.95,<functions26.DataXXX.DataSIF object at 0x7f0aa791b4f0>,3.356028952610302,7.152517925012302,10420.568613582349
738.6571,10502.25,<functions26.DataXXX.DataSIF object at 0x7f0aa3894d00>,3.356033041687707,7.0751265407979265,10898.05618848799
738.656,10120.3,<functions26.DataXXX.DataSIF object at 0x7f0aa37fd760>,3.356038039462512,6.987336787161762,10633.656137110514
738.6556,9710.4,<functions26.DataXXX.DataSIF object at 0x7f0aa38a0c40>,3.3560398568388576,6.957840179333641,10246.217571301719
738.6551,9731.1,<functions26.DataXXX.DataSIF object at 0x7f0aa386dc70>,3.356042128562059,6.923130676896187,10319.53928383332
738.6545,8488.65,<functions26.DataXXX.DataSIF object at 0x7f0aa3858640>,3.3560448546339607,6.885000762228947,9051.81224076425
738.6541,7671.399999999999,<functions26.DataXXX.DataSIF object at 0x7f0aa383ad30>,3.3560466720176887,6.861915109470996,8207.864712336543
738.6535,6993.45,<functions26.DataXXX.DataSIF object at 0x7f0aa3824d30>,3.3560493980969706,6.831081273414948,7516.2795464777855
738.653,8302.7,<functions26.DataXXX.DataSIF object at 0x7f0aa3862520>,3.356051669833089,6.8090904975212085,8952.22815260868
738.6525,8958.0,<functions26.DataXXX.DataSIF object at 0x7f0ad42cf220>,3.3560539415722825,6.790658861231576,9685.009404931441
