Lsr: Wavelength (nm),PL,DataSIF,Lsr: Energy (eV),Matisse Power (uW),Corrected PL
738.6521,9235.4,<functions26.DataXXX.DataSIF object at 0x7f0aa386d520>,3.3560557589658524,6.778578490968086,10002.717033075478
738.6515,9399.75,<functions26.DataXXX.DataSIF object at 0x7f0aa3858dc0>,3.3560584850598967,6.765046906654699,10201.08562986089
738.651,9572.15,<functions26.DataXXX.DataSIF object at 0x7f0aa37e2670>,3.356060756808318,6.7580781156012035,10398.894937535892
738.6506,9339.55,<functions26.DataXXX.DataSIF object at 0x7f0aa380deb0>,3.356062574209268,6.755366626594687,10150.277829677274
738.65,9109.45,<functions26.DataXXX.DataSIF object at 0x7f0aa38a04f0>,3.356065300314385,6.756103861355091,9899.123474354004
738.6495,9218.25,<functions26.DataXXX.DataSIF object at 0x7f0aa37efe80>,3.3560675720720323,6.761114870777753,10009.930674562736
738.649,8890.3,<functions26.DataXXX.DataSIF object at 0x7f0aa382d5e0>,3.356069843832755,6.7700801372036095,9641.031662733818
738.6481,8717.0,<functions26.DataXXX.DataSIF object at 0x7f0aa38465e0>,3.356073933009806,6.795924616120137,9417.14799135581
738.647,8584.05,<functions26.DataXXX.DataSIF object at 0x7f0ad8c777f0>,3.3560789309064014,6.843528678957173,9209.012221179106
738.6462,8540.6,<functions26.DataXXX.DataSIF object at 0x7f0aa3887550>,3.3560825657496385,6.888228555998028,9102.941159800313
738.6451,8189.1,<functions26.DataXXX.DataSIF object at 0x7f0aa3862c70>,3.356087563671946,6.9616952736181235,8636.187590248708
738.6402,8244.099999999999,<functions26.DataXXX.DataSIF object at 0x7f0aa37e2dc0>,3.356109827324888,7.382924191267566,8198.147811006664
738.6352,7694.599999999999,<functions26.DataXXX.DataSIF object at 0x7f0aa3846d60>,3.356132545642586,7.760293190978278,7279.621866049431
738.6302,7341.45,<functions26.DataXXX.DataSIF object at 0x7f0aa3894580>,3.356155264267858,7.875158238745145,6844.212081908013
738.6251,6504.25,<functions26.DataXXX.DataSIF object at 0x7f0aa37fdeb0>,3.356178437582504,7.6628020532776695,6231.757154494379
738.6201,5579.950000000001,<functions26.DataXXX.DataSIF object at 0x7f0aa3887cd0>,3.3562011568290933,7.240428104801799,5658.052386683947
